2023 SOL/USDT VOLATILITY SPIKES (Z > 3.0)
================================================================================

1. 2023-07-14 10:00 | Z=15.64σ | +12.84% UP
37. 2023-01-25 22:00 | Z=5.59σ | +5.02% UP
38. 2023-03-11 17:00 | Z=5.51σ | -4.96% DOWN
39. 2023-01-30 03:00 | Z=5.51σ | +4.95% UP
40. 2023-11-14 23:00 | Z=5.36σ | +4.84% UP
41. 2023-12-27 03:00 | Z=5.35σ | -4.83% DOWN
42. 2023-01-16 18:00 | Z=5.34σ | -4.82% DOWN
43. 2023-02-10 08:00 | Z=5.30σ | -4.79% DOWN
44. 2023-01-16 16:00 | Z=5.26σ | +4.76% UP
45. 2023-09-14 10:00 | Z=5.22σ | +4.73% UP
46. 2023-11-12 06:00 | Z=5.22σ | -4.72% DOWN
47. 2023-12-24 04:00 | Z=5.19σ | +4.70% UP
48. 2023-10-21 21:00 | Z=5.11σ | +4.64% UP
49. 2023-12-26 15:00 | Z=5.09σ | -4.62% DOWN
50. 2023-01-30 19:00 | Z=4.97σ | -4.53% DOWN
51. 2023-02-02 05:00 | Z=4.96σ | +4.53% UP
52. 2023-11-10 01:00 | Z=4.86σ | -4.45% DOWN
53. 2023-01-14 19:00 | Z=4.85σ | -4.44% DOWN
54. 2023-01-03 15:00 | Z=4.84σ | +4.43% UP
55. 2023-07-24 19:00 | Z=4.81σ | -4.41% DOWN
56. 2023-01-14 11:00 | Z=4.80σ | +4.40% UP
57. 2023-11-02 05:00 | Z=4.73σ | -4.35% DOWN
58. 2023-02-20 12:00 | Z=4.72σ | +4.34% UP
59. 2023-11-16 05:00 | Z=4.68σ | +4.31% UP
60. 2023-09-10 14:00 | Z=4.63σ | -4.27% DOWN
61. 2023-10-21 16:00 | Z=4.54σ | +4.20% UP
62. 2023-03-20 17:00 | Z=4.54σ | +4.20% UP
63. 2023-03-16 01:00 | Z=4.52σ | -4.18% DOWN
64. 2023-12-22 16:00 | Z=4.51σ | -4.17% DOWN
65. 2023-07-15 04:00 | Z=4.50σ | -4.17% DOWN
66. 2023-11-03 05:00 | Z=4.48σ | +4.15% UP
67. 2023-01-23 06:00 | Z=4.46σ | -4.14% DOWN
68. 2023-12-22 11:00 | Z=4.45σ | +4.13% UP
69. 2023-12-06 18:00 | Z=4.44σ | +4.12% UP
70. 2023-11-18 03:00 | Z=4.39σ | +4.08% UP
71. 2023-01-10 01:00 | Z=4.38σ | +4.07% UP
72. 2023-12-08 07:00 | Z=4.36σ | +4.06% UP
73. 2023-01-25 08:00 | Z=4.35σ | -4.05% DOWN
74. 2023-11-12 00:00 | Z=4.33σ | +4.04% UP
75. 2023-10-30 18:00 | Z=4.24σ | +3.96% UP
76. 2023-01-21 08:00 | Z=4.23σ | +3.96% UP
77. 2023-11-10 19:00 | Z=4.21σ | +3.94% UP
78. 2023-11-17 07:00 | Z=4.12σ | -3.87% DOWN
79. 2023-12-26 00:00 | Z=4.10σ | +3.85% UP
80. 2023-01-15 08:00 | Z=4.06σ | +3.82% UP
81. 2023-02-20 01:00 | Z=4.06σ | +3.82% UP
82. 2023-11-12 03:00 | Z=4.05σ | -3.82% DOWN
83. 2023-07-15 10:00 | Z=4.01σ | +3.79% UP
84. 2023-03-13 08:00 | Z=3.99σ | +3.77% UP
85. 2023-03-11 11:00 | Z=3.99σ | +3.77% UP
86. 2023-03-20 13:00 | Z=3.88σ | -3.69% DOWN
87. 2023-06-17 15:00 | Z=3.87σ | +3.68% UP
88. 2023-11-25 11:00 | Z=3.86σ | +3.67% UP
89. 2023-12-11 12:00 | Z=3.85σ | -3.66% DOWN
90. 2023-03-10 23:00 | Z=3.84σ | +3.66% UP
91. 2023-11-10 04:00 | Z=3.81σ | -3.63% DOWN
92. 2023-11-15 03:00 | Z=3.80σ | -3.62% DOWN
93. 2023-12-28 22:00 | Z=3.74σ | -3.58% DOWN
94. 2023-07-01 02:00 | Z=3.71σ | +3.56% UP
95. 2023-01-15 10:00 | Z=3.70σ | -3.55% DOWN
96. 2023-11-02 07:00 | Z=3.69σ | +3.54% UP
97. 2023-11-17 10:00 | Z=3.68σ | +3.53% UP
98. 2023-12-14 05:00 | Z=3.66σ | +3.52% UP
99. 2023-03-13 03:00 | Z=3.66σ | +3.51% UP
100. 2023-11-22 08:00 | Z=3.64σ | -3.50% DOWN
101. 2023-04-12 17:00 | Z=3.64σ | +3.49% UP
102. 2023-12-22 03:00 | Z=3.63σ | +3.49% UP
103. 2023-08-18 08:00 | Z=3.62σ | +3.48% UP
104. 2023-01-09 11:00 | Z=3.62σ | +3.48% UP
105. 2023-01-21 06:00 | Z=3.61σ | +3.48% UP
106. 2023-12-06 10:00 | Z=3.61σ | +3.47% UP
107. 2023-12-13 04:00 | Z=3.61σ | +3.47% UP
108. 2023-02-03 07:00 | Z=3.60σ | -3.46% DOWN
109. 2023-07-21 00:00 | Z=3.57σ | -3.44% DOWN
110. 2023-07-07 04:00 | Z=3.56σ | +3.44% UP
111. 2023-04-17 06:00 | Z=3.55σ | +3.42% UP
112. 2023-07-07 22:00 | Z=3.54σ | +3.42% UP
113. 2023-12-26 01:00 | Z=3.53σ | +3.41% UP
114. 2023-11-14 03:00 | Z=3.52σ | -3.40% DOWN
115. 2023-11-09 19:00 | Z=3.52σ | +3.40% UP
116. 2023-07-07 09:00 | Z=3.51σ | -3.40% DOWN
117. 2023-12-24 13:00 | Z=3.51σ | +3.40% UP
118. 2023-01-09 10:00 | Z=3.50σ | +3.39% UP
119. 2023-12-27 20:00 | Z=3.50σ | +3.39% UP
120. 2023-02-13 07:00 | Z=3.50σ | -3.39% DOWN
121. 2023-11-12 13:00 | Z=3.50σ | +3.39% UP
122. 2023-11-12 05:00 | Z=3.49σ | +3.38% UP
123. 2023-10-03 04:00 | Z=3.42σ | -3.33% DOWN
124. 2023-11-19 16:00 | Z=3.42σ | +3.32% UP
125. 2023-07-06 18:00 | Z=3.41σ | +3.32% UP
126. 2023-12-21 03:00 | Z=3.41σ | +3.32% UP
127. 2023-11-08 03:00 | Z=3.40σ | +3.31% UP
128. 2023-01-12 10:00 | Z=3.39σ | +3.30% UP
129. 2023-01-13 00:00 | Z=3.39σ | -3.30% DOWN
130. 2023-01-09 12:00 | Z=3.38σ | +3.30% UP
131. 2023-07-14 19:00 | Z=3.38σ | -3.30% DOWN
132. 2023-06-11 04:00 | Z=3.37σ | -3.28% DOWN
133. 2023-03-10 21:00 | Z=3.35σ | +3.28% UP
134. 2023-06-29 21:00 | Z=3.33σ | +3.26% UP
135. 2023-11-10 23:00 | Z=3.32σ | -3.25% DOWN
136. 2023-01-13 03:00 | Z=3.30σ | +3.24% UP
137. 2023-06-10 12:00 | Z=3.30σ | -3.24% DOWN
138. 2023-10-25 22:00 | Z=3.29σ | +3.23% UP
139. 2023-06-25 01:00 | Z=3.26σ | -3.20% DOWN
140. 2023-11-12 09:00 | Z=3.25σ | -3.20% DOWN
141. 2023-04-27 10:00 | Z=3.25σ | +3.20% UP
142. 2023-11-29 18:00 | Z=3.24σ | +3.18% UP
143. 2023-12-29 08:00 | Z=3.23σ | +3.18% UP
144. 2023-06-10 05:00 | Z=3.22σ | -3.17% DOWN
145. 2023-07-01 03:00 | Z=3.22σ | +3.17% UP
146. 2023-12-18 23:00 | Z=3.20σ | +3.16% UP
147. 2023-12-21 16:00 | Z=3.20σ | +3.16% UP
148. 2023-11-22 03:00 | Z=3.20σ | -3.15% DOWN
149. 2023-12-29 18:00 | Z=3.19σ | +3.15% UP
150. 2023-09-01 02:00 | Z=3.19σ | -3.15% DOWN
151. 2023-10-25 01:00 | Z=3.17σ | -3.14% DOWN
152. 2023-05-09 03:00 | Z=3.16σ | -3.13% DOWN
153. 2023-01-05 08:00 | Z=3.15σ | +3.12% UP
154. 2023-11-16 17:00 | Z=3.14σ | -3.11% DOWN
155. 2023-01-26 00:00 | Z=3.13σ | -3.10% DOWN
156. 2023-06-24 01:00 | Z=3.12σ | +3.10% UP
157. 2023-10-26 02:00 | Z=3.11σ | -3.08% DOWN
158. 2023-02-14 19:00 | Z=3.10σ | +3.08% UP
159. 2023-01-22 08:00 | Z=3.06σ | -3.05% DOWN
160. 2023-07-07 10:00 | Z=3.01σ | +3.01% UP
161. 2023-11-02 08:00 | Z=3.00σ | -3.00% DOWN
